,Company Name,Rating,Project Size,Rates,No of Employees,Location,Focus Area,Final url
1,Deeper Insights,5.0,"$10,000+",$50 - $99 / hr,10 - 49,"London, United Kingdom",60% Artificial Intelligence,https://clutch.co/profile/deeper-insights#reviews
2,Unicsoft,4.9,"$25,000+",$50 - $99 / hr,50 - 249,"Kyiv, Ukraine",30% Artificial Intelligence,https://clutch.co/profile/unicsoft#reviews
3,Tooploox,4.9,"$50,000+",$50 - $99 / hr,50 - 249,"Wrocław, Poland",30% Artificial Intelligence,https://clutch.co/profile/tooploox#reviews
4,Neoteric,4.9,"$25,000+",$50 - $99 / hr,50 - 249,"Gdańsk, Poland",45% Artificial Intelligence,https://clutch.co/profile/neoteric#reviews
5,MobiDev,5.0,"$10,000+",$25 - $49 / hr,250 - 999,"Kharkiv, Ukraine",45% Artificial Intelligence,https://clutch.co/profile/mobidev#reviews
6,DataRoot Labs,4.9,"$10,000+",$25 - $49 / hr,10 - 49,"Kyiv, Ukraine",65% Artificial Intelligence,https://clutch.co/profile/dataroot-labs#reviews
7,Diffco,5.0,"$25,000+",$50 - $99 / hr,10 - 49,"Sunnyvale, CA",30% Artificial Intelligence,https://clutch.co/profile/diffco#reviews
8,Intellias,4.8,"$100,000+",$50 - $99 / hr,"1,000 - 9,999","L'viv, Ukraine",10% Artificial Intelligence,https://clutch.co/profile/intellias#reviews
9,Netguru,4.8,"$25,000+",$50 - $99 / hr,250 - 999,"Poznań, Poland",10% Artificial Intelligence,https://clutch.co/profile/netguru#reviews
10,Day One Technologies,4.8,"$50,000+",$50 - $99 / hr,50 - 249,"Bengaluru, India",60% Artificial Intelligence,https://clutch.co/profile/day-one-technologies#reviews
11,Softarex Technologies,5.0,"$25,000+",$25 - $49 / hr,50 - 249,"Alexandria, VA",35% Artificial Intelligence,https://clutch.co/profile/softarex-technologies#reviews
12,Qulix Systems,4.9,"$10,000+",$25 - $49 / hr,250 - 999,"Misnk, Belarus",20% Artificial Intelligence,https://clutch.co/profile/qulix-systems#reviews
13,ThirdEye Data,4.5,"$25,000+",$50 - $99 / hr,50 - 249,"San Jose, CA",60% Artificial Intelligence,https://clutch.co/profile/thirdeye-data#reviews
14,InData Labs,5.0,"$10,000+",$50 - $99 / hr,50 - 249,"Nicosia, Cyprus",60% Artificial Intelligence,https://clutch.co/profile/indata-labs#reviews
15,OptiSol Business Solutions,4.6,"$10,000+",< $25 / hr,250 - 999,"New Castle, DE",30% Artificial Intelligence,https://clutch.co/profile/optisol-business-solutions#reviews
16,Zfort Group,5.0,"$10,000+",$25 - $49 / hr,250 - 999,"Kharkiv, Ukraine",30% Artificial Intelligence,https://clutch.co/profile/zfort-group#reviews
17,CHI Software,5.0,"$50,000+",$50 - $99 / hr,250 - 999,"Kharkiv, Ukraine",20% Artificial Intelligence,https://clutch.co/profile/chi-software#reviews
18,AndPlus,4.9,"$25,000+",$150 - $199 / hr,50 - 249,"Southborough, MA",15% Artificial Intelligence,https://clutch.co/profile/andplus#reviews
19,BIX Technology,5.0,"$5,000+",$25 - $49 / hr,10 - 49,"Florianópolis, Brazil",30% Artificial Intelligence,https://clutch.co/profile/bix-technology#reviews
