Designation & Company Name,Domain,Company Size,Location,Status,Project_Name,Project_category,Project_cost,Project_Length,Project_Summary,Review
"CEO, Chuck Inc.",Sports,1-10 Employees,"Tarrytown, New York",Verified,Mobile App Development for Sports Company,Mobile App Development,Confidential,Oct. 2020 - Ongoing,"After collaborating on requirements and design, AndPlus delivered a hybrid mobile app for sports fans. The solution offers live chat, play-by-play, and score checking. They also delivered preliminary branding.","""AndPlus has built an objectively remarkable product."""
"Owner, Medical Communications Platform",Healthcare,1-10 Employees,"Pasippany, New Jersey",Verified,iOS & Android App Dev for Medical Communications Business,Mobile App Development,"$50,000 to $199,999",Mar. - Aug. 2020,"After brainstorming with the internal team, AndPlus developed a communications platform, creating a web version, as well as iOS and Android mobile versions.","""The quality of AndPlus’ work was top-notch."""
"Product Owner & Evangelist, Honeywell International, Inc.",Manufacturing,51-200 Employees,"Seattle, Washington",Verified,Tablet App Dev for HVAC Systems Business,Development,"$200,000 to $999,999",May - Aug. 2019,"AndPlus developed an Android app that allowed engineers to monitor and control building systems. The team worked in stages, incorporating functionality that enabled the app to use BACnet.","""AndPlus did everything professionally, and they met our expectations."""
"Aquatrace Ltd, Director of Software Development",Consumer products,1-10 Employees,"Naas, Ireland",Verified,Backend Cloud App Dev for IoT Leak Monitoring System,Development,Confidential,Mar. 2020 - Ongoing,AndPlus helped with the creation of a backend cloud application that connects to an IoT device for leak detection. They incorporated functionality that enables the business to know when and where leaks occur.,"""They are really friendly, in addition to the technical expertise they have brought to the project."""
"VP of IT, Harvey Performance Company",Engineering,51-200 Employees,"Boston, Massachusetts",Verified,Website & Mobile App Development for Mechanical Engineering Company,Development,Confidential,Sep. 2016 - Ongoing,"AndPlus created two platforms for a manufacturer of industrial cutting tools. They used HTML, with a SQL server on the backend.",“Having them listen and implement our feedback has really been a wonderful experience.”
"VP of Consumer Products, Cambridge Mobile Telematics",Software,51-200 Employees,"Cambridge, Massachusetts",Verified,Mobile App Dev for Driving Telematics Company,Mobile App Development,Confidential,Aug. 2019 - Ongoing,AndPlus is designing two mobile apps for a direct-to-consumer vehicle telematics product. The solution includes features that communicate with several backend database management tools.,"""They know how to handle challenges effectively to increase our chances of success."""
"VP of Product Strategy, CrunchTime Information Systems",Software,51-200 Employees,"Boston, Massachusetts",Verified,UX/UI Dev for Restaurant Back-Office Web App,UI/UX Design,"$10,000 to $49,999",July 2019 - Ongoing,"AndPlus consulted on the UX of a web application for a restaurant back-office platform. The team reviewed manuals to understand the product. They iterated ideas, created prototypes and mockups for development.","""We have valued their knowledge and insight."""
"CMO, PetTech Company",Consumer Products,11-50 Employees,New York Metro Area,Verified,iOs & Android Dev for Smart Collar,Mobile App Development,"$200,000 to $999,999",Aug. 2016 - Ongoing,"AndPlus produced backend systems as well as Android and iOS apps for a tech accessory. The software is a hybrid of smart home and wearable technology, with a hierarchy of location states.",“They work quickly through technical challenges… and were always on time or ahead of schedule.”
"IT Manager, Sports Media Group",Media,"10,000+ Employees",New York City Metro Area,Verified,Safety App Dev for Multimedia Sports Entertainment Company,Web Development,"$1,000,000 - $9,999,999",Jan. 2013 - Ongoing,AndPlus built an app to manage an infrared sensor feature in a large fire control system. The app monitors alarms at a remote location and sends desktop notifications to local response teams.,“Their team learned our vocabulary and our technology immediately with zero experience in this specific industry.”
"President, Digital Printing Company",Manufacturing,1-10 Employees,"Farwell, Minnesota",Verified,Web Development for Online Design Company,Web Development,"$200,000 to $999,999",Jan. 2012 - Ongoing,AndPlus built a custom HTML5 platform allowing customers to upload files and design products; they also built an internal system to manage employee workflow and continue to provide development services.,"""They genuinely care about the success of our business."""
