Designation & Company Name,Domain,Company Size,Location,Status,Project_Name,Project_category,Project_cost,Project_Length,Project_Summary,Review
"Co-Founder, Math Curriculum Provider",Education,11-50 Employees,"Gothenburg, Sweden",Verified,Development Services for Math Curriculum Provider,Development,"$50,000 to $199,999",July 2019 - Ongoing,A mathematics curriculum provider partnered with CHI Software to assist in-house teams in developing the web and mobile versions of their products.,"""They are responsive and helpful and willing to improve processes."""
"IT Applications Management Manager, Labgroup",IT Services,51-200 Employees,"Grass, Luxembourg",Verified,Mobile App Dev for Data Management Company,IT Consulting & SI,"$10,000 to $49,999",Sep. 2018 - Ongoing,"To optimize existing workflow and improve efficiency, a data management company hired CHI Software to develop a mobile application. The team developed the app from scratch.","""They thoroughly understood what we were looking for."""
"Head of Legal, Multi-National Tech Company","Arts, Entertainment & Music",51-200 Employees,"Los Angeles, California",Verified,Browser Plug-In for Multi-National Tech Company,Custom Software Development,"Less than $10,000",Sep. - Dec. 2020,CHI Software provided custom software development for a multi-national technology company. The team worked on creating a browser plug-in for the client to help secure the confidentiality of their work.,"""I was very happy with how quickly they grasped the concept of the project."""
"CEO, Piligrim.ua",Hospitality & Leisure,11-50 Employees,Ukraine,Verified,Web Development for Online Travel Agency,Web Development,"$50,000 to $199,999",Jan. 2020 - Ongoing,CHI Software is developing a  website for an online travel agency based in Ukraine. The website must have searching and booking capabilities to connect travelers to tour operators in the country.,"""The team attentively listens to all ideas and tries to implement all of them to the project."""
"Project Manager, QArea, Inc",IT Services,201-500 Employees,Ukraine,Verified,Full Stack Dev for Software Development Company,Staff Augmentation,"$10,000 to $49,999",Sep. 2020 - Ongoing,CHI Software was hired to develop a website for a software development company. The team is responsible for adding features to the website such as password reset capability and payment gateways integration.,"""CHI Software has been able to meet all our expectations so far."""
"COO, Soft Industry Alliance",IT Services,51-200 Employees,"Chernihiv, Ukraine",Verified,Web Development for Technology Service Provider,Web Development,"Less than $10,000",Mar. - July 2019,A technology service provider was working on a client request for Magento web development services. They partnered with CHI Software to implement a new version of the existing site using Magento 1.6.,"""There is not much room for improvement, we only wish to work more often in the future."""
"Founder & CEO, Blocksport",Software,11-50 Employees,"Zug, Switzerland",Verified,Mobile App Dev & UI/UX Design for Sports Tech Organization,Mobile App Development,"$50,000 to $199,999",July - Dec. 2019,CHI Software provided development support for a sports tech organization. The team built a prototype and MVP for fans to shop and interact. They used React Native and Node.js for the iOS and Android app.,"""We found their ability to acquire resources and the quality of their UI design most impressive."""
"Founder, IT Consultation Firm",IT Services,51-200 Employees,"New York, New York",Verified,IT Services & Support for IT Consultation Firm,Custom Software Development,"$10,000 to $49,999",Jan. 2020 - Ongoing,"CHI Software provides ongoing IT services for an IT consultation firm. Their work includes coding, web development, maintenance and QA testing.","""They are technically well-versed and always ready to manage team composition according to the client’s needs."""
"Technical Project Manager, IT Services Company",IT Services,11-50 Employees,Singapore,Verified,Staff Augmentation for IT Services Company,Staff Augmentation,Confidential,Mar. 2018 - Ongoing,"CHI Software provides staff augmentation services to an IT company, mainly in their front- and backend development. The client initially hired two developers and quickly added more to support them efficiently.","""They are good collaborators and we are able to work well with them even they are not with us on site."""
"Co-Founder, Database Security Company",IT Services,11-50 Employees,"Seattle, Washington",Verified,Data Protection Solutions for Database Security Co.,Cybersecurity,"$50,000 to $199,999",Apr. 2018 - Ongoing,"CHI Software performs external penetration tests, simulating cyberattacks to assess the effectiveness of current security measures.","""They have excellent hard-skills and are always playing as a part of your in-house team."""
"Co-Founder, Binadox",IT Services,11-50 Employees,"Seattle, Washington",Verified,Dev Services for Cloud Security & Spend Optimization Co,Web Development,"$50,000 to $199,999",Dec. 2015 - Ongoing,"A database security provider hired CHI Software to set up a service that allows its clients to monitor, control, and optimize their Cloud & SaaS spend.","""These developers have insightful suggestions and wanted to see the project succeed."""
"CEO, Political Startup",Government,1-10 Employees,Israel,Verified,System Development for Political Startup,Development,"$10,000 to $49,999",Jan. 2016 - Ongoing,"CHI Software designed and developed an app for iOS and Android, including a server backend and a site crawler. They’ve also provided consultation on other technical issues. The iOS app is in its final stages.","""CHI Software has given us much more than we expected."""
"CTO, Say2eat",IT Services,1-10 Employees,Israel,Verified,.NET Software Dev for AI Food Service,Custom Software Development,"$10,000 to $49,999",Aug. 2017 - Ongoing,"A .NET developer from CHI Software is assisting with the development of secondary features, including online ordering and point of sale integrations.","“The software developer is easy to manage, responsible, and independent.”"
