Designation & Company Name,Domain,Company Size,Location,Status,Project_Name,Project_category,Project_cost,Project_Length,Project_Summary,Review
"CTO, Transportation Company",Transportation,51-200 Employees,"London, England",Verified,Website Development & Design for Transportation Company,Web Development,"$1,000,000 - $9,999,999",Nov. 2019 - Ongoing,Intellias provides web design and development services for a transportation company. Their team is building an onboarding platform with Java. They're handling both the front- and backend development efforts.,“They have a well-defined process for development and are well-organized.”
"Product Manager, Information Services Company",IT Services,51-200 Employees,"Great Neck, New York",Verified,Research & GIS Data Input for Information Services Company,Application Management & Support,"$50,000 to $199,999",Oct. 2020 - Ongoing,"To build out an info company’s dataset, Intellias has helped incorporate Google Maps into the company’s product. They currently research specific locations and American retailers and input additional data.",“They’re the best company we’ve worked with in this capacity.”
"Engineering Director, Omio",IT Services,201-500 Employees,"Prague, Czech Republic",Verified,Software Engineering Augmentation for Travel Tech Co,Development,Confidential,Jan. 2017 - Ongoing,"Intellias augments software development resources. The team supports a Java infrastructure to ensure quality standards, develops data integrations to expand services, and scales resources to meet requirements.","""I most appreciate their ability to quickly scale up or down the resources provided to us."""
"Director of Engineering, PTV Group",Software,"501-1,000 Employees","Karlsruhe, Germany",Verified,Staff Augmentation for Transport Software Firm,Staff Augmentation,"$200,000 to $999,999",Apr. 2018 - June 2020,"Intellias provided a development team for a transportation software company In addition to augmenting the staff, they helped train them on new technologies for a new product.",“They really wanted to help us and bring us farther. It was extraordinary.”
"Head of Product, Onogo",Consumer Products,51-200 Employees,"Jersey, United Kingdom",Verified,Dev Staff Augmentation for E-Commerce Platform,Staff Augmentation,"$10,000 to $49,999",Jan. 2020 - Ongoing,"Intellias provides staff augmentation and support, managing the output and working style of an internal Java developer. Additionally, the team provides regular updates and offers suggestions.","""They bring in a fresh and modern approach that we don’t have."""
"Technical Product Owner, Electrical Technology Firm",Manufacturing,"10,000+ Employees","Berlin, Germany",Verified,Custom Software Dev for Electrical Technology Firm,Custom Software Development,"$200,000 to $999,999",Apr. - Dec. 2019,Intellias handled custom software development services for an electrical technology firm. They built the front- and backend of the IoT solution using JavaScript and Java as well as contributed to wireframing.,"""The best parts about them were their flexibility and professional UX designers."""
"Former Digital Delivery Manager, Agro Chemical Company",Manufacturing,"10,000+ Employees","Kyiv, Ukraine",Verified,Staff Augmentation for Digital Lab,Staff Augmentation,"$1,000,000 - $9,999,999",Oct. 2018 - Jan. 2020,"Intellias has performed a wide range of product engineering services, spanning mobile app development, SaaS solution creation, and various integrations.","""Their professionalism and pragmatism made the team very flexible."""
"Former CTO & VP, Mapping Company",Information technology,"5,001-10,000 Employees","Berlin, Germany",Verified,Development Partnership with Mapping Company,Development,Confidential,Jan. 2014 - Ongoing,"Intellias provides development support to a Geographic Information System (GIS) platform. Acting as an extended partner, they execute a scalable process to develop mapping and data compilers.","“Intellias has a culture that renders results; their people are motivated, and I believe this is their key strength.”"
"Co-Founder, CTO & R&D Director, Snappy Gifts",Information technology,51-200 Employees,"New York, New York",Verified,Dev Team Augmentation for Employee Engagement Software Co,Staff Augmentation,"$10,000 to $49,999",Dec. 2018 - Ongoing,"Intellias delivers development augmentation services to a company that builds B2B employee engagement software. They provide front- and backend developers and work in AWS, React, and Node.js.","“We’re very pleased with Intellias in terms of quality, responsiveness, communication, and flexibility.”"
"Head of Infrastructure Optimization, Philip Morris International",Agriculture,"5,001-10,000 Employees","Lausanne, Switzerland",Verified,Staff Augmentation for Tobacco Company,Staff Augmentation,Confidential,June 2017 - Ongoing,"Intellias supplies ongoing staff augmentation for a tobacco company. They identify candidates for the client’s approval, and they provide facilities and training programs to sustain and extend skillsets.","""I’m impressed with Intellias’ ability to attract talent and keep the talent up to date."""
