Designation & Company Name,Domain,Company Size,Location,Status,Project_Name,Project_category,Project_cost,Project_Length,Project_Summary,Review
"CTO, Supply Chain Risk Tech Firm",Software,1-10 Employees,"Chicago, Illinois",Verified,Web App Dev for Supply Chain Risk Tech Firm,Web Development,Confidential,June 2020 - Ongoing,"Neoteric spearheads the implementation of backend solutions for a risk management firm's web app. Some of their integral tasks include machine learning programming, data integration, and database architecture.","""They take our business seriously, and we’re always reminded of that through their transparency and accountability."""
"Business Development, IT Solutions Company",IT Services,51-200 Employees,"Warsaw, Poland",Not Verified,Custom Software & Mobile App Dev for IT Solutions Company,Custom Software Development,"$10,000 to $49,999",Oct. 2020 - Feb. 2021,"An IT solutions company hired Neoteric to provide various development services. This included project planning, UI/UX design, custom software and mobile app development, and system maintenance.","""The engagement of team members in the project was most impressive."""
"Head of Product & Engineering, Online Gaming Portal","Arts, entertainment & music",1-10 Employees,Poland,Verified,Custom Software Dev for Online Gaming Portal,Custom Software Development,"$50,000 to $199,999",July 2020 - Ongoing,"Neoteric provides full stack development services to build a four-player chess game for an online gaming portal. Using Java, Springboard, and React, they developed the platform and built the rules engine.","""Neoteric has great communication, so they’re always available and quickly respond to us."""
"Co-Founder & CTO, Gizmi SA",IT Services,1-10 Employees,"Szczecin, Poland",Verified,Custom Software Dev for Chat-Commerce Platform,Custom Software Development,"Less than $10,000",Mar. - Jan. 2021,"A chat-commerce platform hired Neoteric to help integrate the Facebook app into their system. The team configured the app, modified the code, performed the overall testing, and provided the documentation.","""The most important factor for us was Neoteric's proactive attitude."""
"Team Leader, International Development Organization",Other industry,"10,000+ Employees","Washington, DC",Verified,Development Projects for Global Development Organization,Custom Software Development,Confidential,Apr. 2020 - Ongoing,"Neoteric collaborated with an international development organization to deliver two apps: a skills assessment platform and a job readiness training app. They handled UX, development, AI, and algorithmic tasks.","""I haven’t worked with another firm that matches their professionalism, quality of output, and reasonable costs."""
"CTO, thymia",Healthcare,1-10 Employees,"London, United Kingdom",Verified,Patient Activities App for Mental Health Technology Company,Custom Software Development,"$10,000 to $49,999",Oct. - Nov. 2020,A mental health technology company hired Neoteric to develop the frontend of a responsive web app using React. The project is the company's minimum viable product.,"""Excellent code quality and work ethics."""
"CEO, Education Technology Company",Education,11-50 Employees,"Tempe, Arizona",Verified,Software Development for Education Technology Company,Custom Software Development,"$50,000 to $199,999",July - Dec. 2020,An education technology company engaged Neoteric for software development resources. The team designed and built an LMS to streamline learning experiences. They used technologies including React and Angular.,"""It’s easy to talk with the Neoteric team. They want to help in any way possible."""
"Head of Digital, Athletic Training Platform",Other industry,1-10 Employees,"New York, New York",Verified,Staff Augmentation for Athletic Training Platform,Staff Augmentation,Confidential,Apr. 2019 - Ongoing,"Neoteric is the development partner for an athlete training platform. They provide dedicated team resources that have built a backend platform, management interface, consumer website, and iOS and Android apps.","""Neoteric has an excellent ability to adapt and evolve. They’re incredibly good at solving problems."""
"CEO, zDziecmi.pl",Education,11-50 Employees,"Warsaw, Poland",Verified,App Development for Education Platform,Mobile App Development,Confidential,Mar. - June 2020,An educational platform partnered with Neoteric to develop an app that the company will enter into a hackathon.,"""They are absolutely great!"""
"Software Architect, Cybersecurity Company",Information technology,11-50 Employees,"The Hague, The Netherlands",Verified,Customer Portal Development for Cybersecurity Company,Web Development,"$10,000 to $49,999",Nov. 2019 - Ongoing,Neoteric developed a customer portal for a cybersecurity company. The team built the wen portal and provided UX designs.,"""Neoteric is a company with professional and passionate people focused on finding the best solutions."""
