Designation & Company Name,Domain,Company Size,Location,Status,Project_Name,Project_category,Project_cost,Project_Length,Project_Summary,Review
"Co-Founder & CFO, Shepper",IT Services,11-50 Employees,"London, United Kingdom",Verified,App Design & Dev for Crowd-Powered Data Collection Solution,Mobile App Development,"$200,000 to $999,999",Dec. 2018 - Ongoing,"After providing some design screen assistance, Netguru developed the frontend of a job network gateway platform using React Native. The team also worked on the UI/UX design of the mobile app.","""The quality of their work speaks for itself."""
"Head of Product, Newst.se",Real Estate,1-10 Employees,"Stockholm, Sweden",Verified,Dev & Design Outsourcing for Commercial Real Estate Company,Web Development,"$200,000 to $999,999",Nov. 2018 - Ongoing,"Netguru has helped a real estate company launch their core product by serving as an outsourced tech partner. Services include front- and backend development, UI/UX design, DevOps, and product management.",“It’s very valuable and cost-effective for us to have part of our development with Netguru.”
"CTO, CRIF Bürgel GmbH",Financial Services,"501-1,000 Employees","Hamburg, Germany",Verified,Fraud Prevention Solution Dev for Financial Services Co,Development,"$200,000 to $999,999",Feb. 2019 - Feb. 2020,"Netguru provided software development services. The team built a fraud prevention solution using Redis, CockroachDB, Rancher Kubernetes, AWS, React.js, and Node.js. They implemented a microservice and IaC.","""If I had another project, I would directly start it with Netguru and not look for other providers."""
"CEO, elScript SA",Legal,1-10 Employees,"Geneva, Switzerland",Verified,App Design & Development for Legal Annotation Service,Custom Software Development,"$200,000 to $999,999",Feb. 2019 - July 2020,Netguru developed a web platform for a legal annotation service. They handled design and front- and backend development. The team also built a custom algorithm and helped with QA.,“I recommend working with them.”
"Chief Product Officer, Digital Wealth Management Firm",Financial Services,51-200 Employees,"Berlin, Germany",Verified,React Engineering for Digital Wealth Management Firm,Custom Software Development,"$50,000 to $199,999",June 2020 - Ongoing,Netguru provided two React and two Salesforce engineers to augment a development team for a digital wealth management firm. They participate in sprint planning and review processes.,“The people on the team are also pretty good. We enjoy working with them.”
"Engineering Manager, Prescription Medicine Startup",Healthcare,201-500 Employees,"New York, New York",Verified,App Dev & Consulting for Prescription Medicine Startup,Mobile App Development,Confidential,Aug. 2019 - Ongoing,"Netguru collaborates with the internal team to manage business requests, and they primarily handle mobile development. They also provide consulting services and work to deliver business requirements.","""They are phenomenal engineers."""
"Directing Manager, The Origin AG",Consumer Products,1-10 Employees,"Zurich, Switzerland",Verified,iOS Dev for Voice Transcription & Organization App,Mobile App Development,"$50,000 to $199,999",Jan. 2019 - Ongoing,"From scratch, Netguru developed an iOS app to record users’ thoughts, notes, and dreams securely. They implemented speech2text algorithms and voice assistants to transcribe recordings and organize users’ ideas.","""Netguru has been down to earth, approaching everything humbly."""
"Product Manager, Esper",Software,11-50 Employees,"Austin, Texas",Verified,UX/UI and Product Design for Software Company,UI/UX Design,"$10,000 to $49,999",July - Aug. 2019,Netguru provided a design resource to complete ongoing tasks for a software company. They created a style guide and made feature enhancements to existing products.,"""Netguru’s bar for talent is extremely high."""
"Founder & CEO, Odin company",Human Resources,11-50 Employees,"Nijmegen, Netherlands",Verified,Full Stack Development of Psychometric Analysis Tool,Custom Software Development,"$200,000 to $999,999",May 2016 - Ongoing,Netguru redeveloped a psychometric analysis tool as part of a long-term software development partnership. They worked from wireframes and screens to build a system matching tested users with jobs and training options.,"""They never make promises that they can’t keep."""
"CEO, SixEye",Information technology,11-50 Employees,United Kingdom,Verified,Front & Backend Dev for Cloud Based Remote Management System,Web Development,"$50,000 to $199,999",Nov. 2017 - May 2019,"Netguru provided outsourcing services through a frontend developer, backend developer, and a QA for a server application. Key technologies used were React with Redux, JavaScript, and Ruby on Rails.","""Netguru looks after their developers."""
