Designation & Company Name,Domain,Company Size,Location,Status,Project_Name,Project_category,Project_cost,Project_Length,Project_Summary,Review
"CEO, Rule:Fresh",Nonprofit,1-10 Employees,"England, United Kingdom",Verified,Mobile & Web App Development for Design Agency,Mobile App Development,"$10,000 to $49,999",Jan. - May 2021,A design agency hired OptiSol Business Solutions for mobile app development. They built a mobile and web app that was easy to update for the company’s charity client. This was to gather monthly reports easily.,"""What impressed me the most was their willingness to go above and beyond what was asked."""
"CTO, Smashedlabs",IT Services,1-10 Employees,"Richardson, Texas",Verified,"SDK, Mobile & Web App Dev for SaaS Provider",Web Development,"$10,000 to $49,999",Aug. - Nov. 2020,"OptiSol Business Solutions developed a streaming SDK library, a mobile application for iOS and Android, and a web app. The team built the functionalities of the app so users could stream on various platforms.","“They had good coverage for me, and whenever I changed the requirements, it wasn’t a problem.”"
"CTO, Agricultural Retailer",Software,1-10 Employees,California,Verified,Custom Software Dev for Agricultural Retailer,Custom Software Development,"$50,000 to $199,999",Jan. 2019 - Ongoing,"OptiSol Business Solutions has been providing a series of software development outputs for an agricultural retailer since 2019. Their service includes native mobile apps, web apps, and REST APIs.","""It's easy to find programmers, but it's hard to find engineers that are this interested in problem-solving."""
"Chief Technology Officer, Business Infotec Solutions LLC",IT Services,11-50 Employees,"Dubai, United Arab Emirates",Verified,Web Development for IT Company,Web Development,"$10,000 to $49,999",Jan. - May 2020,"As part of the client's cost optimization and automation efforts, OptiSol Business Solutions designed a portal for an IT company to store digital copies of delivery documents and customer information.","""They were able to keep up with the delivery requirements in terms of time and quality."""
"Founder, Freer Limited",Other industry,1-10 Employees,United Kingdom,Verified,MVP Dev for Smart Consumption App,Mobile App Development,"$10,000 to $49,999",Feb. 2020 - Oct. 2021,"OptiSol Business Solutions is developing an MVP for the founder of a smart consumption app. The goal is to create a working demo that allows registration, verification, and in-app messaging among others.","""They are certainly very dedicated, made themselves available for late-night calls, and clearly worked long hours."""
"Director, Software Development Company",Information technology,1-10 Employees,"Dubai, United Arab Emirates",Verified,Software Dev. for Software Development Company,Custom Software Development,"$10,000 to $49,999",Nov. 2018 - June 2020,"OptiSol Business Solutions provided software development resources for a software company. The team worked in Mongo, Angular, and Node.js to build a managed security services portal.",“OptiSol Business Solutions was flexible and available.”
"Partner, Decipher Consulting",Consulting,11-50 Employees,India,Verified,Software Dev for Consulting Agency,Custom Software Development,"$10,000 to $49,999",Aug. 2020 - Ongoing,"After outlining the project milestones, OptiSol began using open-source technologies to develop an aggregation platform for students. They're focusing on making the tool accessible.","""They’re passionate about the process."""
"Director, Spotted LTD",IT Services,1-10 Employees,"London, United Kingdom",Verified,Strategy and Development for a Mobile Application,Mobile App Development,"Less than $10,000",May 2019 - Ongoing,OptiSol Business Solutions designed and developed both iOS and Android apps from scratch. Their team has been hands-on from the start and continues to dedicate themselves to the project.,“Their commitment to the project is second to none.”
"Founder, Social App",Consumer products,1-10 Employees,"New York, New York",Verified,Mobile Development for Startup Social App,IT Consulting & SI,"Less than $10,000",May 2018 - Jan. 2019,"Optisol Business Solutions developed a beta version of an iOS app. They provided comprehensive service, designing screens and the app’s UX and constructing a backend database.","""Optisol resolved issues promptly and stayed calm in the face of unforeseen challenges."""
"Director of Software Development, Waste Management Company",Environmental Services,"501-1,000 Employees","Boise, Idaho",Verified,Mobile App & Software Dev for Waste Management Company,Mobile App Development,"$1,000,000 - $9,999,999",Jan. 2012 - Ongoing,"OptiSol Business Solutions is a development partner for multiple mobile- and web-based projects. The team has built a customer service portal, a custom CRM, and an ERP system. The solutions are now live.","""We value them as a long-term strategic partner and base our projects around that relationship."""
"Managing Director, Platform",Software,1-10 Employees,United Kingdom,Verified,Native iOS & Android App Dev for Platform,Mobile App Development,"$10,000 to $49,999",Mar. 2018 - Ongoing,OptiSol rebuilt iOS and Android apps based on a deprecated code repository. They refactored old code and used iterative development to build a code library. They also introduced a new audio stripping feature.,"""They’re a very good value for the money."""
"CEO, Wait4me","Arts, Entertainment & Music",1-10 Employees,"Los Angeles, California",Verified,App Development for Entertainment Financing Company,Mobile App Development,"$10,000 to $49,999",Oct. 2017 - May 2018,"After numerous rounds of consultation, OptiSol Business Solutions designed and developed an iOS app from scratch. The app allows users to recruit people to wait for them for everyday tasks.",“I can't speak enough about how pleased I am with their process; it was seamless and efficient.”
