Designation & Company Name,Domain,Company Size,Location,Status,Project_Name,Project_category,Project_cost,Project_Length,Project_Summary,Review
"Executive Director, BPM+ Health",Healthcare,11-50 Employees,"Boston, Massachusetts",Verified,Web Development for Nonprofit Healthcare Community,Web Development,"$1,000,000 - $9,999,999",Apr. 2020 - Ongoing,Softarex Technologies provides development support for a nonprofit healthcare community. Their main task is to build a visual knowledge graph to depict complex interrelationships among healthcare assets.,"""They have been tremendous partners, even when we were asking for some very challenging things."""
"VP Engineering, Welkinhealth",Software,11-50 Employees,"San Francisco, California",Verified,Custom Software Development for Computer Software Company,Custom Software Development,"$200,000 to $999,999",Apr. 2020 - Ongoing,Softarex Technologies provides development services for a computer software company. They build custom software using Java and React.js for back- and frontend development. They also provide UX/UI mockups.,"""They continually work with us to make the product better."""
"CEO, FA_MUS",Consumer Products,1-10 Employees,"Austin, Texas",Verified,Mobile App Dev for Video Content Platform,Mobile App Development,"$50,000 to $199,999",May 2020 - Ongoing,"A video content platform hired Softarex Technologies to develop their mobile app. They've completed an iOS app with push notification and product tagging functions, and are now building the app for Android.","""Softarex’s speed and accuracy are impressive. They’re also very well-organized and efficient."""
"CPO, Waitbusters, LLC",Hospitality & leisure,1-10 Employees,"Ashburn, Virginia",Verified,Web & App Dev for Restaurant Management Platform,Web Development,"$1,000,000 - $9,999,999",Jan. 2017 - Ongoing,"Softarex Technologies built a platform for a restaurant operations business. They developed critical features, implemented online marketing tools, and currently provide ongoing support for enhancements.","""They’re able to adapt to changing priorities and find new solutions when needed."""
"IT Contractor, Mainspring Legal",Legal,11-50 Employees,"Los Angeles, California",Verified,Web Platform Development for Legal Recruiting Firm,Custom Software Development,"$50,000 to $199,999",June 2016 - Ongoing,"Softarex Technologies optimized an applicant tracking system, updating its technologies and UI while maintaining original functionality and design. They added data security and continue work on minor projects.","""The professionalism and support from Softarex were excellent."""
"IT Innovation Leader, Computer Vision Project",IT Services,1-10 Employees,"Greater Atlanta, Georgia Area",Verified,Software Development for Computer Vision Project,Custom Software Development,"$10,000 to $49,999",,Softarex Technologies developed a proof-of-concept software using computer vision technologies to detect and identify various items.,"""Softarex performed great. They coordinated weekly calls and frequent emails to ensure we were aware of the progress."""
"CEO, SYBE Medical Management",Healthcare,11-50 Employees,"Los Angeles, California",Verified,Web App Development for Medical Management Company,Custom Software Development,"$200,000 to $999,999",Jan. 2011 - Ongoing,A medical management company hired Softarex Technologies to replace their old automated system with an easy-to-use billing platform. The agency later continued to provide technical support.,"""Softarex Technologies provided us with complex business analysis concerning our future projects."""
"Founder, Software Solution Company",Software,1-10 Employees,Netherlands,Verified,Mobile Development for Sports Community Application,Mobile App Development,"$50,000 to $199,999",Feb. 2015 - Ongoing,"Softarex Technologies partnered with a software company for the task of developing two apps, one for iOS and one for Android. They also developed a web portal.","""Softarex provided us with complex business analysis concerning our future projects."""
"COE, Utility Meter Company",Utilities,11-50 Employees,Germany,Verified,Platform Development for Utility Meter Company,Custom Software Development,"$200,000 to $999,999",Jan. 2013 - Ongoing,"Softarex Technologies, Inc. collaborated with a utility automation company to develop a platform. Their partnership continued to provide support and the implementation of new features.","""Softarex even provided us with a complex business analysis concerning our future projects."""
"Founder/CEO, TV Video Platform",Media,1-10 Employees,"San Antonio, Texas",Verified,Application Development for TV Video Platform,Development,"$200,000 to $999,999",Jan. 2012 - Ongoing,Softarex Technologies assisted an organization with building a custom video platform and integrating it with multiple technologies and additional platforms.,"""Softarex is not just looking to get paid. They're looking to get the work done."""
"IT Director, Computer Software Company",Software,1-10 Employees,Italy,Verified,Health Care Solution Development for Software Company,Custom Software Development,"$200,000 to $999,999",Jan. 2011 - Ongoing,Softarex Technologies helped a software company develop a solution that could manage information and interact with widely used industry technologies.,"""In terms of technology, we are in a very good state...there is not much to improve."""
"CEO, Pinxter Inc.",Software,1-10 Employees,"Alexandria, Virginia",Verified,Mobile Development for App Marketing Platform,Mobile App Development,"$200,000 to $999,999",Jan. 2013 - Ongoing,"An app marketing company partnered with Softarex Technologies to develop solutions, help their internal teams release products faster, and provide optimization and updates.","""Softarex’s professionalism, efficiency and communication is unmatched."""
